year,state,state_name,income_mean_bottom,income_mean_upper,income_mean_top,share_bottom,share_upper,share_top,n_bottom_50,n_upper_49,n_top_1,total,total_agi
2000,MA,Massachusetts,16288.477898621568,81870.74154969308,1683679.432190809,0.12510794345811652,0.6162531922905499,0.2586388642513335,1554787.5,1523691.75,31095.75,3109575.0,202426170.0
2001,MA,Massachusetts,17017.92371310337,81100.39809752612,1148483.142254896,0.14244996093511075,0.665280545433449,0.19226949363144022,1553104.5,1522042.41,31062.09,3106209.0,185543146.0
2002,MA,Massachusetts,15142.413075528097,90183.41165576906,500333.44016975944,0.13337945702603657,0.7784784453453342,0.08814209762862922,1537833.0,1507076.34,30756.66,3075666.0,174588374.0
2003,MA,Massachusetts,15279.396823504263,92959.102284533,521847.34032880864,0.13079854052385184,0.7798564790692482,0.08934498040690007,1525848.5,1495331.53,30516.97,3051697.0,178243921.0
2004,MA,Massachusetts,20453.852645643594,96019.24019620974,557857.146825948,0.162706840292103,0.7485400281908867,0.08875313151701032,1530610.0,1499997.8,30612.2,3061220.0,192412755.0
2005,MA,Massachusetts,20431.00331115894,104180.29416556736,586139.1105668471,0.15218570729867895,0.7604940629911,0.08732022971022099,1541510.5,1510680.29,30830.21,3083021.0,206948515.0
2006,MA,Massachusetts,20267.848665259116,111786.73990324815,598844.8961652566,0.14293692457750015,0.7725972308521137,0.0844658445703861,1572179.5,1540735.91,31443.59,3144359.0,222928374.0
2007,MA,Massachusetts,17981.301088931086,112862.80960083076,614663.7612862854,0.1276354665787574,0.7851040003009524,0.08726053312029013,1730758.5,1696143.33,34615.17,3461517.0,243829482.0
2008,MA,Massachusetts,19790.751487607402,113503.94074242697,530742.8902216569,0.139726245213955,0.7853309601467297,0.07494279463931545,1598962.5,1566983.25,31979.25,3197925.0,226476203.0
2009,MA,Massachusetts,20777.072415029277,108556.00742427073,496725.7671175888,0.15155074125722698,0.7759855769453495,0.07246368179742345,1585944.0,1554225.1199999999,31718.88,3171888.0,217427332.0
2010,MA,Massachusetts,16836.528605921125,99505.26421639636,1571740.1900085162,0.11548757673897139,0.6688902245810732,0.21562219867995552,1601565.0,1569533.7,32031.3,3203130.0,233486542.0
2011,MA,Massachusetts,16446.82030132114,102042.20575314175,1604858.28132713,0.11071918825340539,0.6732042657457584,0.21607654600083614,1629029.0,1596448.42,32580.58,3258058.0,241984679.0
2012,MA,Massachusetts,17050.980604437267,107053.16008450619,1888874.911144411,0.1067416999634285,0.6567654862668398,0.2364928137697316,1632245.0,1599600.0999999999,32644.9,3264490.0,260735756.0
1997,MD,Maryland,13841.694161369525,67747.97929660474,615961.258675012,0.14955272897200553,0.717344074118802,0.1331031969091926,1261187.5,1235963.75,25223.75,2522375.0,116727871.0
1998,MD,Maryland,14301.099431207884,69536.07761320204,699387.2408022794,0.1482990410611939,0.7066513316142415,0.14504962732456467,1229755.0,1205159.9,24595.100000000002,2459510.0,118590440.0
1999,MD,Maryland,15087.73905295675,72880.75871663375,773258.7048622371,0.1479537407339857,0.7003913061442413,0.15165495312177302,1249618.5,1224626.13,24992.37,2499237.0,127431167.0
2000,MD,Maryland,16098.555765494655,76877.05811742954,888083.9274751752,0.147423007637433,0.6899238879102108,0.1626531044523563,1281711.5,1256077.27,25634.23,2563423.0,139962577.0
2001,MD,Maryland,17049.235799613325,77295.45438588047,738089.7318931185,0.15850822369635495,0.7042500914493005,0.13724168485434457,1291565.0,1265733.7,25831.3,2583130.0,138921475.0
2002,MD,Maryland,15959.853066743313,84764.4637571623,452822.3043985987,0.14765955618035184,0.768550774558357,0.08378966926129114,1294832.0,1268935.3599999999,25896.64,2589664.0,139952530.0
2003,MD,Maryland,16287.745515811226,88017.59574921844,460639.30740828963,0.14574149711911494,0.7718231993228497,0.08243530355803531,1300929.5,1274910.91,26018.59,2601859.0,145388987.0
2004,MD,Maryland,21229.75952704322,91052.50097988907,497359.30572824436,0.17631461032766824,0.7410733261012771,0.08261206357105477,1317795.0,1291439.0999999999,26355.9,2635590.0,158673583.0
2005,MD,Maryland,21206.253318803065,97736.34583731036,512010.23924067087,0.16667903669386325,0.7528339747079581,0.08048698859817861,1337164.5,1310421.21,26743.29,2674329.0,170124868.0
2006,MD,Maryland,21271.982507288627,103878.82559873257,510606.81772493606,0.15959728239262289,0.763784132149136,0.07661858545824106,1358709.0,1331534.82,27174.18,2717418.0,181096029.0
2007,MD,Maryland,19487.280321738515,104673.5244156951,507819.4260744362,0.14738111976733934,0.7758067295181571,0.07681215071450366,1471388.0,1441960.24,29427.760000000002,2942776.0,194552399.0
2008,MD,Maryland,20534.51138319842,106078.72790273509,443536.658736726,0.15397527118696203,0.7795087294440682,0.06651599936896976,1388013.0,1360252.74,27760.260000000002,2776026.0,185108742.0
2009,MD,Maryland,21564.37833337141,105407.83030487197,418204.92003845144,0.1618605246961664,0.7753592117214712,0.06278026358236237,1375616.5,1348104.17,27512.33,2751233.0,183270842.0
2010,MD,Maryland,18484.570778997517,100442.1548533177,945511.2798646946,0.1360879646572125,0.7246902950322983,0.13922174031048903,1393678.5,1365804.93,27873.57,2787357.0,189300714.0
2011,MD,Maryland,18174.72468864605,101728.45621844282,977007.7870896492,0.1322675766333744,0.725527845785307,0.1422045775813186,1418941.0,1390562.18,28378.82,2837882.0,194974934.0
2012,MD,Maryland,17962.89629852615,103956.76538458568,1151954.5196276966,0.12572049607115454,0.7130312383349664,0.16124826559387903,1430465.0,1401855.7,28609.3,2860930.0,204384291.0
1997,ME,Maine,11114.200520989016,48119.930413478425,442034.7617130647,0.16560569964447544,0.7026646706040597,0.13172962975146493,287136.0,281393.27999999997,5742.72,574272.0,19270394.0
1998,ME,Maine,11645.817340432823,49665.37541219814,511408.27417073335,0.16508106719350762,0.6899332762333198,0.14498565657317264,292009.5,286169.31,5840.1900000000005,584019.0,20600117.0
1999,ME,Maine,12199.935640040168,53240.743661157794,540256.756921244,0.16227418776555658,0.6940041910702848,0.1437216211641588,297509.0,291558.82,5950.18,595018.0,22367024.0
2000,ME,Maine,12846.303944015222,56635.13889904929,607042.6733816739,0.15960204767083985,0.6895603976246687,0.15083755470449137,302816.5,296760.17,6056.33,605633.0,24373577.0
2001,ME,Maine,13167.354189329684,56322.84000708109,491586.5444301045,0.16839024662350183,0.7058770081899811,0.12573274518651703,305359.0,299251.82,6107.18,610718.0,23877690.0
2002,ME,Maine,11765.499370938713,58606.34040635539,441861.1774624139,0.1507683399150641,0.7359875484691133,0.11324411161582254,306742.5,300607.65,6134.85,613485.0,23937245.0
2003,ME,Maine,13204.677382174816,59593.83802506789,439747.9906663209,0.16423401567983809,0.7263781116686683,0.10938787265149362,307546.0,301395.08,6150.92,615092.0,24727190.0
2004,ME,Maine,20125.870149792856,56820.13349989775,460170.5104382994,0.23673870468106825,0.655002452582922,0.10825884273600983,309426.0,303237.48,6188.52,618852.0,26305236.0
2005,ME,Maine,20221.098851355175,60825.02120887337,478273.8278247502,0.22619919562255858,0.6667985529799806,0.10700225139746078,310575.0,304363.5,6211.5,621150.0,27763882.0
2006,ME,Maine,20083.77459462996,64287.62576841402,493672.3247878204,0.21604959403360355,0.6777375973596396,0.10621280860675686,316985.5,310645.79,6339.71,633971.0,29466685.0
2007,ME,Maine,17235.802701638448,60154.448345747216,471212.0174346201,0.2013260174764659,0.6885923802919827,0.11008160223155135,364817.0,357520.66,7296.34,729634.0,31232495.0
2008,ME,Maine,20080.416441044294,66095.73370589699,441491.3023884632,0.2143418647218923,0.6914070331754475,0.0942511021026601,316837.0,310500.26,6336.74,633674.0,29682577.0
2009,ME,Maine,20586.132401562973,65695.49158189718,419892.9558669335,0.220489541066875,0.6895644668153588,0.08994599211776624,312283.5,306037.83,6245.67,624567.0,29156528.0
2010,ME,Maine,14534.152483299995,71582.99563663997,559802.7792764432,0.15158446462562172,0.7316458720726378,0.11676966330174039,312529.0,306278.42,6250.58,625058.0,29965763.0
2011,ME,Maine,14161.336872149144,72947.05130473942,556607.8536287472,0.14632260940276676,0.7386539089975451,0.11502348159968805,316714.0,310379.72,6334.28,633428.0,30652089.0
2012,ME,Maine,15071.70381345861,75602.38629110677,679344.2683414972,0.14668477953151152,0.7210813795424423,0.13223384092604623,315690.0,309376.2,6313.8,631380.0,32436809.0
1997,MI,Michigan,11989.627717384348,59836.92971348782,568066.1084936333,0.14623077042478885,0.715201549818499,0.13856767975671214,2213795.5,2169519.59,44275.91,4427591.0,181511619.0
1998,MI,Michigan,12498.235545122505,63115.18297209074,646593.197917324,0.14319212880500984,0.7086476670664109,0.14816020412857916,2248974.0,2203994.52,44979.48,4497948.0,196297150.0
1999,MI,Michigan,12906.724257010173,66324.55342144083,650401.1288589713,0.1419681601789854,0.7149494436935979,0.1430823961274167,2278474.0,2232904.52,45569.48,4556948.0,207142472.0
2000,MI,Michigan,13365.773963814781,69318.84406627115,646257.7305869637,0.14185196633953162,0.7209723937101437,0.13717563995032478,2309918.5,2263720.13,46198.37,4619837.0,217648365.0
2001,MI,Michigan,13682.304708515869,67836.30573018527,549802.6028568549,0.15009449809498387,0.729279119895334,0.12062638200968212,2292594.0,2246742.12,45851.88,4585188.0,208988138.0
2002,MI,Michigan,12179.16200506292,70412.15958933481,453579.8943983954,0.13494217148208,0.764546716398239,0.10051111211968117,2277660.0,2232106.8,45553.200000000004,4555320.0,205569466.0
2003,MI,Michigan,12188.006760445282,72302.8399789469,459066.0852713178,0.13215353594574306,0.7682941621991861,0.09955230185507087,2273173.5,2227710.03,45463.47,4546347.0,209645953.0
2004,MI,Michigan,19221.10832038414,68308.79946931438,486543.832798073,0.20043992701788485,0.6980853726563031,0.10147470032581211,2280543.5,2234932.63,45610.87,4561087.0,218691826.0
2005,MI,Michigan,19212.37598031475,71503.32234053759,498469.56403762667,0.19356578004472283,0.7059920361354751,0.10044218381980198,2281385.0,2235757.3,45627.700000000004,4562770.0,226438921.0
2006,MI,Michigan,18645.639172575884,73192.44780402597,494329.31427431124,0.18597133328634174,0.7154199992314199,0.09860866748223841,2327655.0,2281101.9,46553.1,4655310.0,233372609.0
2007,MI,Michigan,17179.32843620733,72574.72112893291,499110.1099247104,0.17479138068778777,0.7236445266843473,0.10156409262786484,2511117.0,2460894.66,50222.340000000004,5022234.0,246804525.0
2008,MI,Michigan,18180.145695667386,74225.9217973061,461813.4290829361,0.18151499427884177,0.7262678548345638,0.0922171508865944,2313182.5,2266918.85,46263.65,4626365.0,231683311.0
2009,MI,Michigan,19144.7694409826,69798.79221100113,440888.6149265535,0.19866858606871118,0.7098278646080484,0.09150354932324042,2267364.5,2222017.21,45347.29,4534729.0,218495392.0
2010,MI,Michigan,11822.608624364782,74564.84729049318,694756.6314145972,0.11967257875878513,0.7396760297711386,0.14065139147007644,2303407.5,2257339.35,46068.15,4606815.0,227556602.0
2011,MI,Michigan,11514.615252169202,76472.11766317002,690709.167612716,0.11483440706184342,0.7473977631358654,0.13776782980229124,2338372.0,2291604.56,46767.44,4676744.0,234472007.0
2012,MI,Michigan,12318.62334061318,79700.44528104688,941526.4762627202,0.11275050938956735,0.7148964818900573,0.1723530087203753,2315520.0,2269209.6,46310.4,4631040.0,252983502.0
1997,MN,Minnesota,12759.748691739496,59385.80019310512,610582.399549629,0.15341864056336849,0.6997528850616347,0.14682847437499677,1120032.0,1097631.3599999999,22400.64,2240064.0,93152480.0
1998,MN,Minnesota,13365.240948109113,63553.7219055214,705291.8815815232,0.14891015155279366,0.6939282658270017,0.15716158262020466,1149106.5,1126124.3699999999,22982.13,2298213.0,103136590.0
1999,MN,Minnesota,13990.062318453269,67367.29388315704,734235.8168175393,0.14773855748737055,0.6971871648389651,0.15507427767366433,1170302.0,1146895.96,23406.04,2340604.0,110821428.0
2000,MN,Minnesota,14944.504606460474,70843.60320942562,811803.5650984781,0.14854293434659369,0.6900764286256333,0.16138063702777297,1193039.0,1169178.22,23860.78,2386078.0,120028441.0
2001,MN,Minnesota,15615.327621402372,70254.9628481164,680043.3870848711,0.15923274360078707,0.7020763791810106,0.13869087721820242,1192450.0,1168601.0,23849.0,2384900.0,116938872.0
2002,MN,Minnesota,14004.503158230606,75601.33070507713,468929.02311382466,0.14367661947180158,0.760105562513552,0.09621781801464636,1190493.5,1166683.63,23809.87,2380987.0,116040244.0
2003,MN,Minnesota,14299.940101714177,78150.6486211414,486626.2451717829,0.14211812559108591,0.761156420546416,0.09672545386249805,1191906.5,1168068.3699999999,23838.13,2383813.0,119929752.0
2004,MN,Minnesota,20383.83800835492,77642.09109295259,506730.98492814583,0.19120416887457523,0.7137312247677131,0.0950646063577116,1203896.0,1179818.08,24077.920000000002,2407792.0,128344592.0
2005,MN,Minnesota,20411.436325590137,82796.5793691649,533787.3596426842,0.18187499561482784,0.7229993384147184,0.09512566597045381,1222799.5,1198343.51,24455.99,2445599.0,137232136.0
2006,MN,Minnesota,19508.481992906254,85462.76857294855,524104.8464126026,0.17151204628606698,0.7363328647538011,0.09215508896013189,1279859.0,1254261.82,25597.18,2559718.0,145576400.0
2007,MN,Minnesota,18420.096727514363,87448.01584364958,528171.6556842956,0.160618080490692,0.7472717435851126,0.09211017592419546,1367008.5,1339668.33,27340.170000000002,2734017.0,156772069.0
2008,MN,Minnesota,19509.320229466026,90470.3035984426,497829.2815393369,0.1651557450987302,0.7505569860907304,0.08428726881053927,1284839.5,1259142.71,25696.79,2569679.0,151773983.0
2009,MN,Minnesota,20596.781967317354,86220.79776543885,460687.4111106323,0.1801884208662605,0.7392062328687643,0.08060534626497516,1270898.5,1245480.53,25417.97,2541797.0,145272483.0
2010,MN,Minnesota,15699.2869178006,86630.54707195652,920673.8809980651,0.13191491882364018,0.7133638879007608,0.15472119327559902,1280527.5,1254916.95,25610.55,2561055.0,152396475.0
2011,MN,Minnesota,15785.048013403779,89228.35026461876,903792.8071593543,0.13012727166330845,0.7208607113384495,0.14901201699824196,1300802.0,1274785.96,26016.04,2601604.0,157793380.0
2012,MN,Minnesota,16605.52613022643,93452.45525970319,1168686.1150068638,0.12621762750700644,0.6961200839515399,0.17766228854145366,1309960.0,1283760.8,26199.2,2619920.0,172341815.0
1997,MO,Missouri,11387.460610485206,51899.835720490104,535739.4626083288,0.15606938683181684,0.6970804377148407,0.14685017545334245,1225943.0,1201424.14,24518.86,2451886.0,89449814.0
1998,MO,Missouri,11932.65750417166,54529.09646404586,597812.7197340198,0.15431339247292095,0.6910680595408165,0.15461854798626254,1246000.5,1221080.49,24920.010000000002,2492001.0,96350012.0
1999,MO,Missouri,12320.894669460773,57232.294746526706,623216.9160266483,0.1523489010023703,0.6935285051602104,0.1541225938374193,1265102.5,1239800.45,25302.05,2530205.0,102312485.0
2000,MO,Missouri,12757.305363887546,59837.71852365646,661043.4955052715,0.15076146425320897,0.692998824499392,0.15623971124739908,1282436.5,1256787.77,25648.73,2564873.0,108518673.0
2001,MO,Missouri,13082.260945580543,59838.83890168748,584134.1376357917,0.15684846634475041,0.7030831708410397,0.14006836281421003,1283247.0,1257582.06,25664.940000000002,2566494.0,107031790.0
2002,MO,Missouri,11604.91402721501,62802.71511776593,479171.84354328434,0.14026605891351598,0.7439010346495716,0.11583290643691235,1279507.5,1253917.35,25590.15,2559015.0,105860068.0
2003,MO,Missouri,12666.43589823184,63252.438104884764,479355.448130244,0.1503596323803229,0.7358345432513088,0.11380582436836832,1281947.5,1256308.55,25638.95,2563895.0,107992455.0
2004,MO,Missouri,19512.918814572433,60383.81266715162,506027.09693014267,0.2197163306335389,0.6663259186115088,0.11395775075495214,1292756.5,1266901.3699999999,25855.13,2585513.0,114809184.0
2005,MO,Missouri,19657.266428062,64960.507890017994,536574.8187908117,0.2090085462573164,0.6768873658277422,0.11410408791494128,1305419.5,1279311.1099999999,26108.39,2610839.0,122774783.0
2006,MO,Missouri,19035.278306641285,67915.70321911696,538615.824559449,0.19753314457055576,0.6906802286969415,0.11178662673250267,1360342.0,1333135.16,27206.84,2720684.0,131089335.0
2007,MO,Missouri,17407.789753507746,67230.66548480635,550558.2117354858,0.18459030396921916,0.6986485114162612,0.11676118461451965,1505274.5,1475169.01,30105.49,3010549.0,141954921.0
2008,MO,Missouri,19116.99098000988,73247.18044249564,536329.0496615508,0.18811157524302455,0.7063386523205849,0.10554977243639053,1369610.0,1342217.8,27392.2,2739220.0,139187724.0
2009,MO,Missouri,20162.87056676705,70137.60892292597,466569.3787065273,0.20526368979601867,0.6997401618113135,0.09499614839266773,1341781.0,1314945.38,26835.62,2683562.0,131801960.0
2010,MO,Missouri,13319.613348182078,73647.39904586946,761429.4267386886,0.1322404936560871,0.7165662237101668,0.1511932826337462,1344436.5,1317547.77,26888.73,2688873.0,135415211.0
2011,MO,Missouri,12895.838157348397,74917.61247414038,756388.130677941,0.12712415670051164,0.7237498972733779,0.14912594602611046,1364532.0,1337241.3599999999,27290.64,2729064.0,138422030.0
2012,MO,Missouri,13432.720890972942,77844.78912922289,952487.960029651,0.12349613655233484,0.7013664744837876,0.17513738896387757,1364215.0,1336930.7,27284.3,2728430.0,148386175.0
1997,MS,Mississippi,9615.45940017933,41971.54839712936,404141.9570369562,0.16344367520816855,0.6991641441068193,0.13739218068501222,569464.0,558074.72,11389.28,1138928.0,33501804.0
1998,MS,Mississippi,9896.097452091053,44251.62124345405,442498.6141483193,0.1593249698617308,0.6981924430288594,0.14248258710940984,576973.5,565434.03,11539.47,1153947.0,35837358.0
1999,MS,Mississippi,10214.553090288091,46164.38446540258,468303.67013898405,0.15757916598226987,0.697931102328733,0.14448973168899706,585648.5,573935.53,11712.97,1171297.0,37962745.0
2000,MS,Mississippi,10638.29054327229,47536.73543604609,476690.8297840884,0.15935578288979474,0.6978328508147642,0.14281136629544108,586745.0,575010.1,11734.9,1173490.0,39169986.0
2001,MS,Mississippi,11072.073564743067,48143.557453460926,453871.44900666946,0.16444441570675045,0.7007359864980467,0.13481959779520292,582607.5,570955.35,11652.15,1165215.0,39227073.0
2002,MS,Mississippi,9841.692978186213,50131.823310663036,426817.63522430015,0.14578723804493354,0.7277618264785396,0.12645093547652694,581816.0,570179.6799999999,11636.32,1163632.0,39276788.0
2003,MS,Mississippi,13010.706363694615,48451.38654656652,447318.77359720797,0.18736767234394353,0.683795237552278,0.12883709010377842,584823.0,573126.54,11696.460000000001,1169646.0,40609782.0
2004,MS,Mississippi,18759.576590895198,44928.40787613141,452538.2826772961,0.2611293022690832,0.6128859715479977,0.12598472618291906,582975.5,571315.99,11659.51,1165951.0,41881066.0
2005,MS,Mississippi,18738.483239130892,49512.453919306055,513526.51692926587,0.24168952354071002,0.6258408655326468,0.1324696109266431,584799.0,573103.02,11695.98,1169598.0,45340179.0
2006,MS,Mississippi,18015.854200464793,53130.11998760657,535452.6166902405,0.22298940025901964,0.644460395310708,0.13255020443027235,617143.0,604800.14,12342.86,1234286.0,49860479.0
2007,MS,Mississippi,15655.458524212841,48133.57202676708,498126.35471775645,0.2150803418005937,0.6480508638847847,0.13686879431462162,720294.0,705888.12,14405.880000000001,1440588.0,52429398.0
2008,MS,Mississippi,18373.139392382574,56267.37674118314,493484.3717222571,0.2203414416770122,0.6612954897279302,0.11836306859505766,627471.0,614921.58,12549.42,1254942.0,52321579.0
2009,MS,Mississippi,19556.262155702654,54833.95753744276,447368.58304297336,0.2377923788998099,0.6534129662118019,0.10879465488838812,620695.0,608281.1,12413.9,1241390.0,51046523.0
2010,MS,Mississippi,9923.890701860617,61341.48371663085,652739.9021264531,0.11943063510318287,0.7234593293065711,0.15711003559024617,641747.5,628912.55,12834.95,1283495.0,53324945.0
