country,year,bottom_50,top_1,gap
new_zealand,1987,0.1617,0.0788,-0.08290000000000002
new_zealand,1988,0.1611,0.0817,-0.0794
new_zealand,1989,0.1524,0.0992,-0.05320000000000001
new_zealand,1990,0.1418,0.1195,-0.022300000000000014
new_zealand,1991,0.1442,0.1057,-0.03849999999999999
new_zealand,1992,0.139,0.1128,-0.026200000000000015
new_zealand,1993,0.1369,0.119,-0.0179
new_zealand,1994,0.1378,0.1232,-0.014600000000000002
new_zealand,1995,0.1388,0.1243,-0.014500000000000013
new_zealand,1996,0.1432,0.1183,-0.02489999999999999
new_zealand,1997,0.1395,0.1262,-0.013300000000000006
new_zealand,1998,0.1323,0.1381,0.0058
new_zealand,1999,0.1625,0.1529,-0.009599999999999997
new_zealand,2000,0.1808,0.1161,-0.0647
new_zealand,2001,0.1761,0.1237,-0.0524
new_zealand,2002,0.1943,0.1248,-0.0695
new_zealand,2003,0.1981,0.1286,-0.0695
new_zealand,2004,0.2039,0.2111,0.007200000000000012
new_zealand,2005,0.2155,0.161,-0.05449999999999999
new_zealand,2006,0.2412,0.1005,-0.1407
new_zealand,2007,0.2346,0.1048,-0.1298
new_zealand,2008,0.2319,0.1629,-0.069
new_zealand,2009,0.2198,0.1874,-0.032399999999999984
new_zealand,2010,0.1967,0.2239,0.027199999999999974
new_zealand,2011,0.2201,0.1972,-0.022900000000000004
new_zealand,2012,0.2292,0.1364,-0.0928
new_zealand,2013,0.2327,0.1215,-0.1112
new_zealand,2014,0.2325,0.1181,-0.11440000000000002
new_zealand,2015,0.2322,0.1147,-0.1175
new_zealand,2016,0.2319,0.1113,-0.1206
new_zealand,2017,0.2386,0.1154,-0.1232
new_zealand,2018,0.2443,0.1069,-0.1374
new_zealand,2019,0.2193,0.1191,-0.1002
new_zealand,2020,0.1937,0.13,-0.0637
new_zealand,2021,0.1854,0.1677,-0.01770000000000002
new_zealand,2022,0.2044,0.1208,-0.0836
new_zealand,2023,0.2044,0.1208,-0.0836
norway,1980,0.253,0.0747,-0.17830000000000001
