year,state,state_name,income_mean_bottom,income_mean_upper,income_mean_top,share_bottom,share_upper,share_top,n_bottom_50,n_upper_49,n_top_1,total,total_agi
1999,AZ,Arizona,13570.9958653507,60812.04885569874,704377.0217999247,0.1555337558593632,0.683012501425575,0.1614537427150616,1043983.0,1023103.34,20879.66,2087966.0,91092052.0
2000,AZ,Arizona,14170.32345801862,64130.46540379217,739855.2323554571,0.1543351260234769,0.6845032027373342,0.161161671239189,1076307.5,1054781.35,21526.15,2152615.0,98821479.0
2001,AZ,Arizona,14479.316361904996,63333.40380241743,619376.9748488604,0.1628104308373197,0.6978997993898878,0.1392897697727924,1100734.0,1078719.32,22014.68,2201468.0,97892228.0
2002,AZ,Arizona,12299.554732476408,67061.55692887178,471608.6333820286,0.1406434072587902,0.7515012328778606,0.1078553598633492,1110162.5,1087959.25,22203.25,2220325.0,97085990.0
2003,AZ,Arizona,13168.931488951835,68497.13101734911,485491.7316692668,0.1463117808069273,0.7458083051891718,0.1078799140039008,1142661.5,1119808.27,22853.23,2285323.0,102846339.0
2004,AZ,Arizona,20310.2445810924,68879.94060441524,538559.7837134609,0.2060201400192538,0.6847205533225903,0.109259306658156,1186259.5,1162534.31,23725.19,2372519.0,116945948.0
2005,AZ,Arizona,20732.200486724065,78779.88248103329,580352.2185664648,0.1892599274963634,0.7047817890319159,0.1059582834717207,1237046.5,1212305.57,24740.93,2474093.0,135510440.0
2006,AZ,Arizona,20813.93505933909,82970.76049199393,592577.6008783969,0.1826154897318866,0.7134023959009408,0.1039821143671725,1298319.5,1272353.11,25966.39,2596639.0,147978344.0
2007,AZ,Arizona,18819.877969954472,78425.46285455137,562443.6255109323,0.1760089225719785,0.7187883798423091,0.1052026975857123,1449272.0,1420286.56,28985.44,2898544.0,154964429.0
2008,AZ,Arizona,19414.442193923154,76764.15290687777,491786.218341656,0.1858214131859901,0.720037937121541,0.0941406496924689,1357091.0,1329949.18,27141.82,2714182.0,141787560.0
2009,AZ,Arizona,20820.49923495536,72854.018318,456353.2209031777,0.2054428104661794,0.7044974006597493,0.0900597888740712,1335330.5,1308623.89,26706.61,2670661.0,135328404.0
2010,AZ,Arizona,11957.461276479147,74997.87946230036,722469.8083040124,0.1196885810508002,0.7356797380119695,0.1446316809372302,1359305.5,1332119.39,27186.11,2718611.0,135801116.0
2011,AZ,Arizona,11719.931734415506,76443.35981186484,732491.403539415,0.1157132669126068,0.7396460044386892,0.1446407286487039,1395233.5,1367328.83,27904.67,2790467.0,141315182.0
2012,AZ,Arizona,13068.835281400445,80204.74393978587,914751.2698458404,0.1188459377701287,0.714781971449957,0.1663720907799141,1380745.0,1353130.1,27614.9,2761490.0,151832947.0
2013,AZ,Arizona,18109.683500685016,85376.27119952448,870678.9726519651,0.15193731847849937,0.7019674424252561,0.14609523909624453,1321867.0,1295430.0,26437.0,2643734.0,157555716.0
2014,AZ,Arizona,18584.18265271856,88270.35754897696,965314.2290864215,0.14939605466471864,0.695403114421938,0.15520083091334333,1337051.0,1310310.0,26741.0,2674102.0,166323000.0
2015,AZ,Arizona,19049.35176573791,90926.86479139724,1034751.6502860496,0.1478381265181667,0.6915514799324043,0.16061039354942905,1363396.0,1336128.0,27268.0,2726792.0,175677348.0
2016,AZ,Arizona,19627.797094987593,92935.29950494136,1040111.835589172,0.14925340275522728,0.6925639121310356,0.15818268511373706,1381612.0,1353981.0,27632.0,2763225.0,181691000.0
2017,AZ,Arizona,20599.10968874352,97050.41014707607,1184594.5703510502,0.1477694509339887,0.6822753666171101,0.16995518244890115,1418605.0,1390233.0,28372.0,2837210.0,197754000.0
2018,AZ,Arizona,21744.909065217318,101867.26297361492,1268048.3198345683,0.14798936250869954,0.6794132523679868,0.1725973851233137,1450765.0,1421751.0,29015.0,2901531.0,213169058.0
2019,AZ,Arizona,22000.9007657483,103048.59424018195,1273701.6820366282,0.14819152775914587,0.6802230652630512,0.17158540697780295,1539801.0,1509006.0,30796.0,3079603.0,228602873.0
2020,AZ,Arizona,21333.40465192072,103991.95063887797,1464848.3331260106,0.13985235815998742,0.6680907711039041,0.1920568707361084,1607809.0,1575653.0,32156.0,3215618.0,245258932.0
2021,AZ,Arizona,23747.776615512274,117805.10891657333,2004523.3921815888,0.13245628388063388,0.6439315693708987,0.2236121467484674,1585983.0,1554263.0,31720.0,3171966.0,284347174.0
2022,AZ,Arizona,25898.008539135193,122030.13193044646,1791855.9236947792,0.14282680050001736,0.659532978808066,0.1976402206919166,1593604.0,1561732.0,31872.0,3187208.0,288959564.0
1997,CA,California,12408.006993514611,60132.93539153464,791889.7998248311,0.1423327022728667,0.6759913602936685,0.1816759374334648,6918618.0,6780245.64,138372.36000000002,13837236.0,603137994.0
