date,year,state,income
1989-12-31T00:00:00.000000,1989,HI,80290.0
1989-12-31T00:00:00.000000,1989,ID,56500.0
1989-12-31T00:00:00.000000,1989,IL,71730.0
1989-12-31T00:00:00.000000,1989,IN,59350.0
1989-12-31T00:00:00.000000,1989,IA,60190.0
1989-12-31T00:00:00.000000,1989,KS,61560.0
1989-12-31T00:00:00.000000,1989,KY,53360.0
1989-12-31T00:00:00.000000,1989,LA,52390.0
1989-12-31T00:00:00.000000,1989,ME,64670.0
1989-12-31T00:00:00.000000,1989,MD,82540.0
1989-12-31T00:00:00.000000,1989,MA,82700.0
1989-12-31T00:00:00.000000,1989,MI,70530.0
1989-12-31T00:00:00.000000,1989,MN,69180.0
1989-12-31T00:00:00.000000,1989,MS,45640.0
1989-12-31T00:00:00.000000,1989,MO,60720.0
1989-12-31T00:00:00.000000,1989,MT,54300.0
1989-12-31T00:00:00.000000,1989,NE,60320.0
1989-12-31T00:00:00.000000,1989,NV,67240.0
1989-12-31T00:00:00.000000,1989,NH,86010.0
1989-12-31T00:00:00.000000,1989,NJ,89650.0
1989-12-31T00:00:00.000000,1989,NM,51800.0
1989-12-31T00:00:00.000000,1989,NY,72180.0
1989-12-31T00:00:00.000000,1989,NC,60520.0
1989-12-31T00:00:00.000000,1989,ND,57820.0
1989-12-31T00:00:00.000000,1989,OH,66510.0
1989-12-31T00:00:00.000000,1989,OK,54240.0
1989-12-31T00:00:00.000000,1989,OR,65380.0
1989-12-31T00:00:00.000000,1989,PA,65750.0
1989-12-31T00:00:00.000000,1989,RI,69040.0
1989-12-31T00:00:00.000000,1989,SC,54540.0
1989-12-31T00:00:00.000000,1989,SD,55250.0
1989-12-31T00:00:00.000000,1989,TN,51820.0
1989-12-31T00:00:00.000000,1989,TX,59320.0
1989-12-31T00:00:00.000000,1989,UT,70390.0
1989-12-31T00:00:00.000000,1989,VT,71720.0
1989-12-31T00:00:00.000000,1989,VA,78190.0
1989-12-31T00:00:00.000000,1989,WA,73250.0
1989-12-31T00:00:00.000000,1989,WV,49680.0
1989-12-31T00:00:00.000000,1989,WI,66740.0
1989-12-31T00:00:00.000000,1989,WY,67650.0
1990-12-31T00:00:00.000000,1990,AL,51050.0
1990-12-31T00:00:00.000000,1990,AK,85880.0
1990-12-31T00:00:00.000000,1990,AZ,63870.0
1990-12-31T00:00:00.000000,1990,AR,49800.0
1990-12-31T00:00:00.000000,1990,CA,72750.0
1990-12-31T00:00:00.000000,1990,CO,67170.0
1990-12-31T00:00:00.000000,1990,CT,84950.0
1990-12-31T00:00:00.000000,1990,DE,67320.0
1990-12-31T00:00:00.000000,1990,District of Columbia,59860.0
1990-12-31T00:00:00.000000,1990,FL,58320.0
1990-12-31T00:00:00.000000,1990,GA,60230.0
1990-12-31T00:00:00.000000,1990,HI,85060.0
1990-12-31T00:00:00.000000,1990,ID,55300.0
1990-12-31T00:00:00.000000,1990,IL,71120.0
1990-12-31T00:00:00.000000,1990,IN,58850.0
1990-12-31T00:00:00.000000,1990,IA,59640.0
1990-12-31T00:00:00.000000,1990,KS,65380.0
1990-12-31T00:00:00.000000,1990,KY,54160.0
1990-12-31T00:00:00.000000,1990,LA,48970.0
1990-12-31T00:00:00.000000,1990,ME,60020.0
1990-12-31T00:00:00.000000,1990,MD,84920.0
1990-12-31T00:00:00.000000,1990,MA,79220.0
1990-12-31T00:00:00.000000,1990,MI,65430.0
1990-12-31T00:00:00.000000,1990,MN,68770.0
1990-12-31T00:00:00.000000,1990,MS,44100.0
1990-12-31T00:00:00.000000,1990,MO,59730.0
1990-12-31T00:00:00.000000,1990,MT,51090.0
1990-12-31T00:00:00.000000,1990,NE,60060.0
1990-12-31T00:00:00.000000,1990,NV,69990.0
1990-12-31T00:00:00.000000,1990,NH,89180.0
1990-12-31T00:00:00.000000,1990,NJ,84650.0
1990-12-31T00:00:00.000000,1990,NM,54720.0
1990-12-31T00:00:00.000000,1990,NY,69040.0
1990-12-31T00:00:00.000000,1990,NC,57540.0
1990-12-31T00:00:00.000000,1990,ND,55210.0
1990-12-31T00:00:00.000000,1990,OH,65590.0
1990-12-31T00:00:00.000000,1990,OK,53290.0
1990-12-31T00:00:00.000000,1990,OR,63990.0
1990-12-31T00:00:00.000000,1990,PA,63390.0
1990-12-31T00:00:00.000000,1990,RI,69860.0
1990-12-31T00:00:00.000000,1990,SC,62800.0
1990-12-31T00:00:00.000000,1990,SD,53700.0
1990-12-31T00:00:00.000000,1990,TN,49370.0
1990-12-31T00:00:00.000000,1990,TX,61690.0
1990-12-31T00:00:00.000000,1990,UT,65870.0
1990-12-31T00:00:00.000000,1990,VT,67960.0
1990-12-31T00:00:00.000000,1990,VA,76650.0
1990-12-31T00:00:00.000000,1990,WA,70180.0
1990-12-31T00:00:00.000000,1990,WV,48380.0
1990-12-31T00:00:00.000000,1990,WI,67120.0
1990-12-31T00:00:00.000000,1990,WY,64380.0
1991-12-31T00:00:00.000000,1991,AL,51340.0
1991-12-31T00:00:00.000000,1991,AK,85640.0
1991-12-31T00:00:00.000000,1991,AZ,64820.0
1991-12-31T00:00:00.000000,1991,AR,49420.0
1991-12-31T00:00:00.000000,1991,CA,70990.0
1991-12-31T00:00:00.000000,1991,CO,66430.0
1991-12-31T00:00:00.000000,1991,CT,88900.0
1991-12-31T00:00:00.000000,1991,DE,68720.0
1991-12-31T00:00:00.000000,1991,District of Columbia,63020.0
1991-12-31T00:00:00.000000,1991,FL,57470.0
1991-12-31T00:00:00.000000,1991,GA,57390.0
1991-12-31T00:00:00.000000,1991,HI,78550.0
1991-12-31T00:00:00.000000,1991,ID,55070.0
1991-12-31T00:00:00.000000,1991,IL,67240.0
1991-12-31T00:00:00.000000,1991,IN,57130.0
1991-12-31T00:00:00.000000,1991,IA,60210.0
1991-12-31T00:00:00.000000,1991,KS,61780.0
1991-12-31T00:00:00.000000,1991,KY,50110.0
1991-12-31T00:00:00.000000,1991,LA,53350.0
1991-12-31T00:00:00.000000,1991,ME,58770.0
1991-12-31T00:00:00.000000,1991,MD,77930.0
1991-12-31T00:00:00.000000,1991,MA,75310.0
1991-12-31T00:00:00.000000,1991,MI,67730.0
1991-12-31T00:00:00.000000,1991,MN,62170.0
1991-12-31T00:00:00.000000,1991,MS,41070.0
1991-12-31T00:00:00.000000,1991,MO,58890.0
1991-12-31T00:00:00.000000,1991,MT,52360.0
1991-12-31T00:00:00.000000,1991,NE,62310.0
1991-12-31T00:00:00.000000,1991,NV,69460.0
1991-12-31T00:00:00.000000,1991,NH,75990.0
1991-12-31T00:00:00.000000,1991,NJ,84460.0
1991-12-31T00:00:00.000000,1991,NM,55970.0
1991-12-31T00:00:00.000000,1991,NY,67050.0
1991-12-31T00:00:00.000000,1991,NC,56630.0
1991-12-31T00:00:00.000000,1991,ND,54600.0
1991-12-31T00:00:00.000000,1991,OH,62820.0
1991-12-31T00:00:00.000000,1991,OK,53690.0
1991-12-31T00:00:00.000000,1991,OR,63670.0
1991-12-31T00:00:00.000000,1991,PA,64040.0
1991-12-31T00:00:00.000000,1991,RI,65030.0
1991-12-31T00:00:00.000000,1991,SC,57910.0
1991-12-31T00:00:00.000000,1991,SD,51960.0
1991-12-31T00:00:00.000000,1991,TN,51570.0
1991-12-31T00:00:00.000000,1991,TX,58480.0
1991-12-31T00:00:00.000000,1991,UT,59080.0
