country,year,mobility,inequality_controlled,growth_controlled
Finland,2002,0.7020965979162317,0.7136679446088761,0.7455288064149315
Finland,2003,0.6709273734071919,0.6913757660123441,0.7376181327056841
Finland,2004,0.6360418128928051,0.6863319985367948,0.7099364228893886
Finland,2005,0.6835084955037234,0.7030566683590233,0.7459907973068041
Finland,2006,0.6750443717446492,0.7186042508838177,0.7209140033800921
Finland,2007,0.6951771531065122,0.7349764662480599,0.7227712341107897
Finland,2008,0.6739183992562626,0.7269523244705087,0.7115115683197126
Finland,2009,0.6384934662143353,0.6749939720102782,0.7391903609316761
France,1945,0.6189123039316944,0.4732324041149127,0.79394284540272
France,1946,0.6543845177012124,0.5139376685384637,0.7802205309415011
France,1947,0.6465546189619188,0.5147221351204385,0.772701400081026
France,1948,0.7077125012320732,0.5815509139916161,0.7712510129986476
France,1949,0.7154095412212906,0.5838074281857982,0.7752463537319896
France,1950,0.731646220593505,0.6100896108901537,0.7668935112506622
France,1951,0.7285561866361862,0.6197824438508546,0.754885136204299
France,1952,0.7317524687560895,0.6172120466523289,0.7596654046532296
France,1953,0.7321880719588734,0.6060836688210476,0.7694235222067478
France,1954,0.7308091511900168,0.6200310256426558,0.7559543064251489
France,1955,0.7181857087927015,0.6181706814980935,0.7457840505323663
France,1956,0.7207685993648472,0.6259748940023537,0.7411957116834901
France,1957,0.745326119740603,0.6493827825031916,0.7415668863802186
France,1958,0.7341593656692862,0.6307433630386342,0.7491263206331072
France,1959,0.7098083371912011,0.6312981843080516,0.7248959373938205
France,1960,0.7395953903215977,0.6719344927041453,0.7108638419442335
France,1961,0.7616954591253292,0.6988375138543867,0.7039475033718078
France,1962,0.8083242096255336,0.727327159254811,0.7262743475689541
France,1963,0.8168599431698802,0.7332725430983328,0.7326928970022898
France,1964,0.8351615914947234,0.7550661043853499,0.7323912724771826
France,1965,0.8296461903916601,0.750543411303447,0.7325069958482027
France,1966,0.8199865530508501,0.7409921673732104,0.7260984319093862
France,1967,0.8340583755745703,0.7556134286405763,0.725796867569289
France,1968,0.8444359630083385,0.7575044038462313,0.7341549508600222
France,1969,0.8220829470386805,0.7355263083810641,0.7254989058371513
France,1970,0.907822633923369,0.8217478473770823,0.7381299324116617
France,1971,0.9125933749796344,0.8273517187774839,0.7366406764547198
France,1972,0.9239827014554095,0.8394523080130445,0.7245057367687793
France,1973,0.9382104651850384,0.8653964463673149,0.6926206486340257
France,1974,0.95644863664926,0.8850278661945812,0.6835758270319201
France,1975,0.9310779723190672,0.8474945035414914,0.6896267944362207
France,1976,0.8960159831645309,0.8060557420809562,0.7087095379570235
France,1977,0.9116335725526461,0.8112021462460426,0.7288751919596242
France,1978,0.8996891935149374,0.7943619868997436,0.7272014047913582
France,1979,0.8912117539023285,0.785884799942848,0.7263774448565771
France,1980,0.8757242671249057,0.765475768919933,0.7335729060788025
