country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belize,138.3638306,163.6450195,173.1264191,175.1849976,176.0459442,180.7223969,195.485611,232.7741699,256.6998291,242.0894318,242.6184082,251.1910248,246.298172,261.2244873,296.2493897,285.8498535,292.991272,281.6338501,287.6029358,298.9605103,279.65802,310.1950073,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,42.95851135,44.91654968,43.48994827,46.37623215,46.29327393,51.6701889,55.93380737,63.45651245,77.74305725,89.26693726,99.99167633,119.2386169,134.630661,159.0892181,178.2088013,194.9240112,205.9224396,212.8791351,229.2254028,239.1754456,246.1977539,272.9592285,,
Brazil,310.6140442,268.6497192,245.6619415,250.3089447,294.3838501,383.5508728,483.9191589,600.6356812,705.1339722,719.4265137,893.7750855,1028.084717,953.703125,977.8168945,1013.56842,782.5229492,795.9379883,937.3428955,863.2817383,850.4328613,704.9953613,761.2677612,,
Barbados,616.3776245,635.9644775,683.3395996,802.8556519,938.1408081,960.3230591,1026.780396,1042.89624,1136.865723,1165.375977,1116.533081,1166.021973,1298.255859,1249.765747,1179.065186,1158.393066,1185.163086,1186.169678,1173.62854,1172.405396,1238.587158,1400.435791,,
Brunei Darussalam,507.3886719,463.8158569,472.2997437,534.1412354,617.5216675,643.3348389,650.2209473,695.6499023,778.060669,729.1307373,788.5003052,860.0778198,867.0618897,834.3091431,785.590271,732.394165,681.9734497,639.9196777,753.8118286,674.6516113,650.4782105,693.4055786,,
Bhutan,31.09416771,35.96975327,35.96072769,37.33245468,46.10057831,46.69151688,54.01427841,64.43791199,57.31074142,59.43021393,71.98933411,77.32337952,83.64318848,85.9859848,86.81033325,96.52057648,97.18308258,103.3909073,101.6993332,115.3208084,133.7031403,120.4311752,,
Botswana,200.9880066,197.2882996,200.3307495,262.0407715,288.9466248,273.5193176,250.7696838,296.5655212,315.2705994,326.9522095,378.646698,415.5810852,405.960083,418.3235169,402.4575806,358.2232056,369.842041,444.5560303,419.6545105,408.8960266,358.9055176,457.4629822,,
Central African Republic,9.8634491,9.26134109,10.61978436,13.00553608,13.72547722,14.66589355,15.91440105,18.94978714,18.67624855,21.82637405,16.40023994,18.9371357,20.60425186,16.78926849,18.02748299,17.71483231,20.25914001,27.64416504,49.17564392,33.9444313,40.11012268,42.92785645,,
Canada,2001.668701,2055.759521,2149.379395,2552.263916,2916.251221,3291.220703,3788.686035,4221.928711,4491.229004,4368.856934,5083.981934,5423.059082,5538.935547,5483.255859,5231.736328,4677.830078,4667.703125,4920.728516,5080.323242,5115.976074,5668.347656,6470.067871,6207.181641,
