year,race,race_multiplier
1999,AMERICAN INDIAN AND ALASKA NATIVE,0.7093084824737901
1998,AMERICAN INDIAN AND ALASKA NATIVE,0.7534771656992663
1997,AMERICAN INDIAN AND ALASKA NATIVE,0.7459691058743939
1996,AMERICAN INDIAN AND ALASKA NATIVE,0.7545105342800605
1995,AMERICAN INDIAN AND ALASKA NATIVE,0.6586990129623023
1994,AMERICAN INDIAN AND ALASKA NATIVE,0.7565964657467925
1993,AMERICAN INDIAN AND ALASKA NATIVE,0.7196941669749661
1992,AMERICAN INDIAN AND ALASKA NATIVE,0.7362341162880246
1991,AMERICAN INDIAN AND ALASKA NATIVE,0.7655128205128205
1990,AMERICAN INDIAN AND ALASKA NATIVE,0.7544211714536561
1989,AMERICAN INDIAN AND ALASKA NATIVE,0.6454734778880313
1988,AMERICAN INDIAN AND ALASKA NATIVE,0.6512536222754189
1987,AMERICAN INDIAN AND ALASKA NATIVE,0.6750828870186177
2023,TWO OR MORE RACES,0.9388646288209607
2022,TWO OR MORE RACES,0.9204339963833634
2021,TWO OR MORE RACES,0.8839441535776614
2020,TWO OR MORE RACES,1.0403508771929824
2019,TWO OR MORE RACES,0.899913718723037
2018,TWO OR MORE RACES,0.8713888888888889
2017,TWO OR MORE RACES,0.857968313140727
2017,TWO OR MORE RACES,0.87260663507109
2017,TWO OR MORE RACES,0.8584342963653309
2017,TWO OR MORE RACES,0.8730805687203792
2016,TWO OR MORE RACES,0.882512077294686
2015,TWO OR MORE RACES,0.8930508134163486
2014,TWO OR MORE RACES,0.8905132519983172
2013,TWO OR MORE RACES,1.0977647796114476
2013,TWO OR MORE RACES,1.1363390636825603
2013,TWO OR MORE RACES,0.8554418216001671
2013,TWO OR MORE RACES,0.8855011352578657
2012,TWO OR MORE RACES,0.8726183995645074
2011,TWO OR MORE RACES,0.8864729020979021
2010,TWO OR MORE RACES,0.8835323764654323
2009,TWO OR MORE RACES,0.8896270895842263
2008,TWO OR MORE RACES,0.9078666096622489
2007,TWO OR MORE RACES,0.8723914858096828
2006,TWO OR MORE RACES,0.8929530894812978
2005,TWO OR MORE RACES,0.9020787168935317
2004,TWO OR MORE RACES,0.9350021486892995
2003,TWO OR MORE RACES,0.8799356223175966
2002,TWO OR MORE RACES,0.908573881317738
2023,HISPANIC (ANY RACE),0.7980786026200873
2022,HISPANIC (ANY RACE),0.800994575045208
2021,HISPANIC (ANY RACE),0.7903141361256545
2020,HISPANIC (ANY RACE),0.7726315789473684
2019,HISPANIC (ANY RACE),0.7654874892148403
2018,HISPANIC (ANY RACE),0.787962962962963
2017,HISPANIC (ANY RACE),0.771668219944082
2017,HISPANIC (ANY RACE),0.7848341232227488
2017,HISPANIC (ANY RACE),0.7791239515377446
2017,HISPANIC (ANY RACE),0.7924170616113744
2016,HISPANIC (ANY RACE),0.8038647342995169
2015,HISPANIC (ANY RACE),0.8024703755774252
2014,HISPANIC (ANY RACE),0.7596760622633572
2013,HISPANIC (ANY RACE),0.7662419051598078
2013,HISPANIC (ANY RACE),0.7931668288463618
2013,HISPANIC (ANY RACE),0.7266555253812409
2013,HISPANIC (ANY RACE),0.7521894258838794
2012,HISPANIC (ANY RACE),0.7494828524768644
2011,HISPANIC (ANY RACE),0.7514204545454546
2010,HISPANIC (ANY RACE),0.7625725868302837
2009,HISPANIC (ANY RACE),0.7683240462923274
2008,HISPANIC (ANY RACE),0.7537409149209063
2007,HISPANIC (ANY RACE),0.7517737896494157
2006,HISPANIC (ANY RACE),0.7597644141351519
2005,HISPANIC (ANY RACE),0.7441173367099293
2004,HISPANIC (ANY RACE),0.7587021916630855
2003,HISPANIC (ANY RACE),0.7528969957081545
2002,HISPANIC (ANY RACE),0.7758343169868012
2001,HISPANIC (ANY RACE),0.7624565469293163
2000,HISPANIC (ANY RACE),0.7697313182199832
1999,HISPANIC (ANY RACE),0.7379010907550566
1998,HISPANIC (ANY RACE),0.7382542985434235
1997,HISPANIC (ANY RACE),0.7221783741120757
1996,HISPANIC (ANY RACE),0.7216854848096845
1995,HISPANIC (ANY RACE),0.6943750743251278
1994,HISPANIC (ANY RACE),0.7322682159283467
1993,HISPANIC (ANY RACE),0.7311629054137379
1992,HISPANIC (ANY RACE),0.7420100115517906
1991,HISPANIC (ANY RACE),0.7612820512820513
1990,HISPANIC (ANY RACE),0.7477737363602157
1989,HISPANIC (ANY RACE),0.7665074114908734
1988,HISPANIC (ANY RACE),0.7641426231573643
1987,HISPANIC (ANY RACE),0.7647283856159143
1986,HISPANIC (ANY RACE),0.7534442422667014
1985,HISPANIC (ANY RACE),0.7508795669824087
1984,HISPANIC (ANY RACE),0.7693905817174516
1983,HISPANIC (ANY RACE),0.762431733256683
1982,HISPANIC (ANY RACE),0.7705390602479101
1981,HISPANIC (ANY RACE),0.8062925909815862
1980,HISPANIC (ANY RACE),0.7916666666666666
1979,HISPANIC (ANY RACE),0.8070565356299486
1978,HISPANIC (ANY RACE),0.7863439205260949
1977,HISPANIC (ANY RACE),0.7804702149141786
1976,HISPANIC (ANY RACE),0.7578193510669395
1975,HISPANIC (ANY RACE),0.7637017070979335
1974,HISPANIC (ANY RACE),0.7878964212976433
1973,HISPANIC (ANY RACE),0.7783166904422254
1972,HISPANIC (ANY RACE),0.781783955980307
