date,category,percent,trillions
2017:Q3,0_50,1.4,1346795
2017:Q4,top_point_1,12.5,12241711
2017:Q4,remaining_top_1,18.3,17920468
2017:Q4,90_99,39.4,38472087
2017:Q4,50_90,28.4,27725163
2017:Q4,0_50,1.4,1404996
2018:Q1,top_point_1,12.4,12239369
2018:Q1,remaining_top_1,18.3,18055850
2018:Q1,90_99,39.3,38887162
2018:Q1,50_90,28.5,28147636
2018:Q1,0_50,1.5,1497250
2018:Q2,top_point_1,12.3,12367791
2018:Q2,remaining_top_1,18.3,18307120
2018:Q2,90_99,39.4,39477098
2018:Q2,50_90,28.4,28426343
2018:Q2,0_50,1.6,1577661
2018:Q3,top_point_1,12.4,12651902
2018:Q3,remaining_top_1,18.4,18749496
2018:Q3,90_99,39.5,40332114
2018:Q3,50_90,28.2,28832734
2018:Q3,0_50,1.6,1609978
2018:Q4,top_point_1,11.9,11660764
2018:Q4,remaining_top_1,18.1,17788250
2018:Q4,90_99,39.6,38956322
2018:Q4,50_90,28.9,28404162
2018:Q4,0_50,1.6,1588083
2019:Q1,top_point_1,12.2,12736903
2019:Q1,remaining_top_1,18.3,19114784
2019:Q1,90_99,39.6,41308480
2019:Q1,50_90,28.3,29548809
2019:Q1,0_50,1.6,1696661
2019:Q2,top_point_1,12.2,13033474
2019:Q2,remaining_top_1,18.3,19525118
2019:Q2,90_99,39.6,42173258
2019:Q2,50_90,28.2,29979869
2019:Q2,0_50,1.6,1744983
2019:Q3,top_point_1,12.1,12957790
2019:Q3,remaining_top_1,18.3,19573658
2019:Q3,90_99,39.6,42437890
2019:Q3,50_90,28.2,30249378
2019:Q3,0_50,1.8,1874242
2019:Q4,top_point_1,12.3,13624543
2019:Q4,remaining_top_1,18.2,20099542
2019:Q4,90_99,39.3,43465560
2019:Q4,50_90,28.4,31317411
2019:Q4,0_50,1.8,1956074
2020:Q1,top_point_1,11.7,12183779
2020:Q1,remaining_top_1,17.5,18172495
2020:Q1,90_99,39.2,40867921
2020:Q1,50_90,29.7,30956501
2020:Q1,0_50,1.9,1952576
2020:Q2,top_point_1,12.2,13652143
2020:Q2,remaining_top_1,17.6,19652742
2020:Q2,90_99,38.8,43435028
2020:Q2,50_90,29.4,32880252
2020:Q2,0_50,2,2273260
2020:Q3,top_point_1,12.5,14499346
2020:Q3,remaining_top_1,17.5,20365693
2020:Q3,90_99,38.5,44766599
2020:Q3,50_90,29.3,34084510
2020:Q3,0_50,2.1,2449066
2020:Q4,top_point_1,13,16088911
2020:Q4,remaining_top_1,17.6,21906920
2020:Q4,90_99,38.2,47435478
2020:Q4,50_90,29,35985687
2020:Q4,0_50,2.2,2722746
2021:Q1,top_point_1,13.2,17001028
2021:Q1,remaining_top_1,17.6,22710722
2021:Q1,90_99,37.9,48857377
2021:Q1,50_90,29,37471138
2021:Q1,0_50,2.3,2966563
2021:Q2,top_point_1,13.4,18189118
2021:Q2,remaining_top_1,17.6,23784563
2021:Q2,90_99,37.6,50925663
2021:Q2,50_90,29,39248743
2021:Q2,0_50,2.3,3136395
2021:Q3,top_point_1,13.5,18704651
2021:Q3,remaining_top_1,17.4,24071186
2021:Q3,90_99,37.4,51741827
2021:Q3,50_90,29.3,40498534
2021:Q3,0_50,2.4,3282918
2021:Q4,top_point_1,13.7,19405743
2021:Q4,remaining_top_1,17.3,24561551
2021:Q4,90_99,37.2,52799445
2021:Q4,50_90,29.4,41643631
2021:Q4,0_50,2.4,3423879
2022:Q1,top_point_1,13.5,19405833
2022:Q1,remaining_top_1,16.9,24350937
2022:Q1,90_99,36.8,52963458
2022:Q1,50_90,30.2,43365091
2022:Q1,0_50,2.5,3659092
2022:Q2,top_point_1,13.1,18012221
2022:Q2,remaining_top_1,16.4,22565989
2022:Q2,90_99,36.6,50431474
2022:Q2,50_90,31.3,43238262
2022:Q2,0_50,2.7,3725449
2022:Q3,top_point_1,13.1,17653206
2022:Q3,remaining_top_1,16.3,21880303
2022:Q3,90_99,36.4,49005881
2022:Q3,50_90,31.5,42346303
2022:Q3,0_50,2.7,3578000
2022:Q4,top_point_1,13.3,18026679
2022:Q4,remaining_top_1,16.5,22284350
2022:Q4,90_99,36.5,49443751
2022:Q4,50_90,31.1,42125539
2022:Q4,0_50,2.6,3452139
2023:Q1,top_point_1,13.5,18635618
2023:Q1,remaining_top_1,16.6,22996419
2023:Q1,90_99,36.6,50682309
2023:Q1,50_90,30.8,42629840
2023:Q1,0_50,2.6,3554191
2023:Q2,top_point_1,13.5,19364206
2023:Q2,remaining_top_1,16.6,23875633
2023:Q2,90_99,36.5,52458362
2023:Q2,50_90,30.8,44290667
2023:Q2,0_50,2.5,3657772
2023:Q3,top_point_1,13.4,18987806
2023:Q3,remaining_top_1,16.5,23494070
2023:Q3,90_99,36.5,51952034
2023:Q3,50_90,31.1,44161860
2023:Q3,0_50,2.5,3606462
2023:Q4,top_point_1,13.5,19794978
2023:Q4,remaining_top_1,16.7,24437522
2023:Q4,90_99,36.6,53492306
2023:Q4,50_90,30.7,44811120
2023:Q4,0_50,2.5,3628532
2024:Q1,top_point_1,13.6,20607928
2024:Q1,remaining_top_1,16.8,25480581
2024:Q1,90_99,36.5,55425401
2024:Q1,50_90,30.6,46417151
2024:Q1,0_50,2.5,3783089
2024:Q2,top_point_1,13.5,20866484
2024:Q2,remaining_top_1,16.7,25838143
2024:Q2,90_99,36.5,56307717
2024:Q2,50_90,30.8,47549958
2024:Q2,0_50,2.5,3824129
